REMOVE ITEM BAG Gói ưu đãi Rank 10, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 13:50 CH
REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG by index Cải trang Kakashi, SL: 1 lý do: Vứt item, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG by index Cải trang Akimichi Choji, SL: 1 lý do: Vứt item, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG by index Bí dược, SL: 1 lý do: Vứt item, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 0 lý do: Sử dụng, TIME: 17/03/2024 21:00 CH

REMOVE ITEM BAG Rương cải trang, SL: 995 lý do: Sử dụng, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Rương cải trang, SL: 994 lý do: Sử dụng, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Rương cải trang, SL: 993 lý do: Sử dụng, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Rương cải trang, SL: 992 lý do: Sử dụng, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Cải trang Kurenai, SL: 1 lý do: Ghép cải trang, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Cải trang Kankuro, SL: 1 lý do: Ghép cải trang, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG Cải trang Haku, SL: 1 lý do: Ghép cải trang, TIME: 17/03/2024 21:02 CH

MINE VÀNG -24, tổng: 9729251 lý do: Ghép cải trang, TIME: 17/03/2024 21:02 CH

REMOVE ITEM BAG by index Cải trang Hidan, SL: 1 lý do: HẾT HẠN SD, TIME: 17/03/2024 21:19 CH

REMOVE ITEM BAG by index Cải trang Hashirama, SL: 0 lý do: HẾT HẠN SD, TIME: 17/03/2024 21:19 CH

REMOVE ITEM BAG by index Cải trang Người Sói, SL: 180000 lý do: HẾT HẠN SD, TIME: 17/03/2024 21:19 CH

REMOVE ITEM BAG by index Cải trang Kurenai, SL: 1 lý do: HẾT HẠN SD, TIME: 17/03/2024 21:19 CH

REMOVE ITEM BAG by index Cải trang Dracula, SL: 1 lý do: HẾT HẠN SD, TIME: 17/03/2024 21:19 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 0 lý do: Sử dụng, TIME: 17/03/2024 21:30 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 0 lý do: Sử dụng, TIME: 17/03/2024 21:32 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 0 lý do: Sử dụng, TIME: 17/03/2024 21:32 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 0 lý do: Sử dụng, TIME: 17/03/2024 21:32 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:33 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:33 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:48 CH

REMOVE ITEM BAG Túi mở rộng cấp 4, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:48 CH

MINE VÀNG -20, tổng: 9729231 lý do: MUA SHOP, TIME: 17/03/2024 21:49 CH

REMOVE ITEM BAG Lông vĩ thú, SL: 10000 lý do: Đổi nhất vĩ, TIME: 17/03/2024 21:50 CH

MINE BẠC -1000000, tổng: 194053302 lý do: Đổi nhất vĩ, TIME: 17/03/2024 21:50 CH

REMOVE ITEM BAG by index Nhất vĩ, SL: 0 lý do: Mặc vào người, TIME: 17/03/2024 21:50 CH

REMOVE ITEM BAG Kỹ năng vĩ thú, SL: 1 lý do: Sử dụng, TIME: 17/03/2024 21:50 CH

MINE VÀNG -1000, tổng: 9728231 lý do: Nâng cấp vĩ thú, TIME: 17/03/2024 21:50 CH

MINE VÀNG -1000, tổng: 9727231 lý do: Nâng cấp vĩ thú, TIME: 17/03/2024 21:50 CH

REMOVE ITEM BAG Kỹ năng vĩ thú đặc biệt, SL: 1 lý do: Sử dụng, TIME: 18/03/2024 09:53 SA

MINE VÀNG -1500, tổng: 9727731 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 09:53 SA

MINE VÀNG -1500, tổng: 9726231 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 09:53 SA

REMOVE ITEM BODY by index Nhất vĩ, SL: 0 lý do: Tháo từ BODY, TIME: 18/03/2024 10:06 SA

REMOVE ITEM BAG by index Nhất vĩ, SL: 0 lý do: Mặc vào người, TIME: 18/03/2024 10:06 SA

REMOVE ITEM BAG Kỹ năng vĩ thú đặc biệt, SL: 1 lý do: Sử dụng, TIME: 18/03/2024 10:06 SA

MINE VÀNG -1500, tổng: 9724731 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 10:07 SA

MINE VÀNG -1500, tổng: 9723231 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 10:07 SA

MINE VÀNG -1500, tổng: 9721731 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 10:07 SA

MINE VÀNG -1500, tổng: 9720231 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 10:07 SA

MINE VÀNG -1500, tổng: 9718731 lý do: Nâng cấp vĩ thú, TIME: 18/03/2024 10:07 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 1, SL: 999 lý do: Sử dụng, TIME: 18/03/2024 10:15 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 1, SL: 998 lý do: Sử dụng, TIME: 18/03/2024 10:15 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 1, SL: 997 lý do: Sử dụng, TIME: 18/03/2024 10:15 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 2, SL: 999 lý do: Sử dụng, TIME: 18/03/2024 10:15 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 2, SL: 998 lý do: Sử dụng, TIME: 18/03/2024 10:15 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 3, SL: 999 lý do: Sử dụng, TIME: 18/03/2024 10:16 SA

REMOVE ITEM BAG Thuốc tăng lực cấp 3, SL: 998 lý do: Sử dụng, TIME: 18/03/2024 10:16 SA

REMOVE ITEM BAG Rương cải trang, SL: 100 lý do: Sử dụng, TIME: 18/03/2024 14:11 CH

